index	gene_name	mean_tpm
ENSG00000187626	ZKSCAN4	383.2271285257235
ENSG00000204531	POU5F1	43029.9634420566
ENSG00000204366	ZBTB12	1482.8734718762348
ENSG00000137309	HMGA1	134856.353855573
ENSG00000124664	SPDEF	5.57246470461737
ENSG00000065029	ZNF76	1411.47434253502
ENSG00000112033	PPARD	1369.600196756045
ENSG00000007866	TEAD3	1747.27431637478
ENSG00000010030	ETV7	21.70557689588395
ENSG00000001167	NFYA	2989.247115315195
ENSG00000124496	TRERF1	2796.7291604593597
ENSG00000112658	SRF	5952.1500673161445
ENSG00000096401	CDC5L	5609.5178658752
ENSG00000008196	TFAP2B	606.219550401073
ENSG00000118418	HMGN3	3466.5677504596647
ENSG00000112182	BACH2	583.709192542793
ENSG00000184486	POU3F2	2067.62780554798
ENSG00000112246	SIM1	25.709215251998152
ENSG00000057657	PRDM1	399.474543528068
ENSG00000112333	NR2E1	0.0
ENSG00000118689	FOXO3	2026.4415032810653
ENSG00000196591	HDAC2	20784.798238706
ENSG00000025156	HSF2	1462.2543796792697
ENSG00000135547	HEY2	482.4354832756615
ENSG00000118526	TCF21	10.60665234146259
ENSG00000118513	MYB	268.5662091724625
ENSG00000029363	BCLAF1	20353.0986117008
ENSG00000010818	HIVEP2	766.365084645641
ENSG00000118495	PLAGL1	1214.375560660035
ENSG00000091831	ESR1	8.148128580489585
ENSG00000112592	TBP	1085.291207332275
ENSG00000205903	ZNF316	1433.326445906805
ENSG00000006468	ETV1	5908.0060784802945
ENSG00000122691	TWIST1	138.9658718783785
ENSG00000146618	FERD3L	0.0
ENSG00000105866	SP4	3017.9683312378347
ENSG00000050344	NFE2L3	6638.327068705625
ENSG00000105991	HOXA1	656.2000758614535
ENSG00000105996	HOXA2	379.11486196617295
ENSG00000105997	HOXA3	212.07184213253953
ENSG00000106006	HOXA6	15.89883196146815
ENSG00000078399	HOXA9	81.4604113553549
ENSG00000005073	HOXA11	6.509585623811075
ENSG00000106031	HOXA13	13.299456332234001
ENSG00000106038	EVX1	290.108641098634
ENSG00000164532	TBX20	18.5442124455157
ENSG00000106536	POU6F2	199.003828726283
ENSG00000178665	ZNF713	269.150491095048
ENSG00000214652	ZNF727	0.0
ENSG00000197123	ZNF679	0.0
ENSG00000009950	MLXIPL	265.220825302841
ENSG00000006704	GTF2IRD1	2063.13675892832
ENSG00000263001	GTF2I	6701.322104128781
ENSG00000006377	DLX6	8.265268695388796
ENSG00000180535	BHLHA15	28.894291455728403
ENSG00000106261	ZKSCAN1	3949.4584183340553
ENSG00000105856	HBP1	1181.413588847665
ENSG00000128610	FEZF1	133.6262687516495
ENSG00000106331	PAX4	0.889697412469825
ENSG00000128604	IRF5	11.84777009863
ENSG00000106459	NRF1	1309.1534654933453
ENSG00000182158	CREB3L2	3783.78986953718
ENSG00000106410	NOBOX	0.0
ENSG00000204947	ZNF425	395.5211659824985
ENSG00000170265	ZNF282	2187.620424110185
ENSG00000181444	ZNF467	76.40109331323725
ENSG00000164900	GBX1	12.316330558226916
ENSG00000130675	MNX1	34.44304440698385
ENSG00000171056	SOX7	58.9808585099898
ENSG00000221818	EBF2	82.53696549089925
ENSG00000147421	HMBOX1	839.5602273056065
ENSG00000131931	THAP1	1028.0380641847696
ENSG00000019549	SNAI2	508.613258987256
ENSG00000164736	SOX17	460.04794013992296
ENSG00000181690	PLAG1	1503.061901886075
ENSG00000133740	E2F5	2353.271543755015
ENSG00000164920	OSR2	5.900173295953075
ENSG00000164754	RAD21	19761.6050734603
ENSG00000165156	ZHX1	599.253766855742
ENSG00000136997	MYC	2084.51705920757
ENSG00000261678	SCRT1	32.10166076091005
ENSG00000160973	FOXH1	2440.78291083796
ENSG00000137090	DMRT1	28.799444442280603
ENSG00000064218	DMRT3	4.823619160408715
ENSG00000173253	DMRT2	4.823619160408715
